"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"M1 General Purpose Small","m1.small","1.7 GiB","1 units","1 vCPUs","0","0","1 units","","","","","","160 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","8","No","No","No","No","PV","$0.044000 hourly","$0.028000 hourly","$0.104 hourly","$0.088 hourly","$0.074 hourly","$0.052 hourly","$0.075000 hourly","$0.057000 hourly","$0.139 hourly","$0.094 hourly","$0.629 hourly","$0.473 hourly","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","2 units","1 vCPUs","0","0","2 units","","","","","","410 GiB               HDD","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","PV","$0.087000 hourly","$0.056000 hourly","$0.147 hourly","$0.116 hourly","$0.187 hourly","$0.092 hourly","$0.149000 hourly","$0.115000 hourly","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable","unavailable","unavailable"
"M1 General Purpose Large","m1.large","7.5 GiB","4 units","2 vCPUs","0","0","2 units","","","","","","840 GiB               (2 * 420 GiB HDD)","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","30","No","No","No","No","PV","$0.175000 hourly","$0.112000 hourly","$0.235 hourly","$0.172 hourly","$0.275 hourly","$0.148 hourly","$0.299000 hourly","$0.232000 hourly","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","unavailable","unavailable","$0.025 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","8 units","4 vCPUs","0","0","2 units","","","","","","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","No","PV","$0.350000 hourly","$0.224000 hourly","$0.41 hourly","$0.284 hourly","$0.45 hourly","$0.260 hourly","$0.598000 hourly","$0.465000 hourly","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","unavailable","unavailable","$0.05 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","5 units","2 vCPUs","0","0","2.5 units","","","","","","350 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","PV","$0.130000 hourly","$0.091000 hourly","$0.19 hourly","$0.151 hourly","$0.23 hourly","$0.127 hourly","$0.210000 hourly","$0.179000 hourly","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","20 units","8 vCPUs","0","0","2.5 units","","","","","","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","No","PV","$0.520000 hourly","$0.364000 hourly","$0.65 hourly","$0.494 hourly","$0.62 hourly","$0.400 hourly","$0.840000 hourly","$0.719000 hourly","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","unavailable","unavailable","$0.05 hourly"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","88 units","32 vCPUs","0","0","2.75 units","","","","","","3360 GiB               (4 * 840 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM","$2.000000 hourly","$1.090000 hourly","$2.13 hourly","$1.220 hourly","$2.1 hourly","$1.126 hourly","$2.570000 hourly","$1.336000 hourly","$2.775 hourly","$1.437 hourly","$4.41 hourly","$2.956 hourly","unavailable","unavailable","unavailable"
"Cluster GPU Quadruple Extra Large","cg1.4xlarge","22.5 GiB","33.5 units","16 vCPUs","0","0","2.094 units","","","","","","EBS only","N/A","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","N/A","No","No","No","No","HVM","$2.100000 hourly","unavailable","$2.23 hourly","unavailable","$2.2 hourly","unavailable","$2.600000 hourly","unavailable","$2.703 hourly","unavailable","$3.85 hourly","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","6.5 units","2 vCPUs","0","0","3.25 units","","","","","","420 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","No","No","No","No","PV","$0.245000 hourly","$0.111000 hourly","$0.305 hourly","$0.171 hourly","$0.345 hourly","$0.147 hourly","$0.345000 hourly","$0.249000 hourly","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable","unavailable","unavailable"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","0","0","3.25 units","","","","","","850 GiB               HDD","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","120","No","No","No","No","PV","$0.490000 hourly","$0.222000 hourly","$0.55 hourly","$0.282 hourly","$0.59 hourly","$0.258 hourly","$0.690000 hourly","$0.496000 hourly","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","$0.025 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","1680 GiB               (2 * 840 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","240","No","No","No","No","PV","$0.980000 hourly","$0.444000 hourly","$1.11 hourly","$0.574 hourly","$1.08 hourly","$0.480 hourly","$1.380000 hourly","$0.991000 hourly","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","unavailable","unavailable","$0.05 hourly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","35 units","16 vCPUs","0","0","2.188 units","","","","","","48000 GiB               (24 * 2000 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM, PV","$4.600000 hourly","$2.574000 hourly","$4.73 hourly","$2.704 hourly","$4.7 hourly","$2.610 hourly","$4.931000 hourly","$2.961000 hourly","$5.144 hourly","$3.211 hourly","$8.35 hourly","$6.961 hourly","unavailable","unavailable","unavailable"
"T1 Micro","t1.micro","0.613 GiB","Burstable","1 vCPUs","0","0","Burstable","","","","","","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","4","No","No","No","No","PV","$0.020000 hourly","$0.014000 hourly","$0.08 hourly","$0.074 hourly","$0.03 hourly","$0.022 hourly","$0.020000 hourly","$0.015000 hourly","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Xeon family","up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","4","No","Yes","Yes","No","HVM","$0.005800 hourly","$0.004000 hourly","unavailable","unavailable","$0.0158 hourly","$0.013 hourly","$0.008100 hourly","$0.006000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","4","No","Yes","Yes","No","HVM","$0.011600 hourly","$0.007000 hourly","$0.0716 hourly","$0.067 hourly","$0.0216 hourly","$0.016 hourly","$0.016200 hourly","$0.012000 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Small","t2.small","2.0 GiB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","8","No","Yes","Yes","No","HVM","$0.023000 hourly","$0.014000 hourly","$0.083 hourly","$0.074 hourly","$0.053 hourly","$0.028 hourly","$0.032000 hourly","$0.024000 hourly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","18","No","Yes","Yes","No","HVM","$0.046400 hourly","$0.029000 hourly","$0.1064 hourly","$0.089 hourly","$0.1464 hourly","$0.062 hourly","$0.064400 hourly","$0.047000 hourly","$0.1358 hourly","$0.118 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Large","t2.large","8.0 GiB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.0","Yes","","Yes","EBS only","N/A","N/A","64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","36","No","Yes","Yes","No","HVM","$0.092800 hourly","$0.058000 hourly","$0.1528 hourly","$0.118 hourly","$0.1928 hourly","$0.091 hourly","$0.120800 hourly","$0.086000 hourly","$0.1918 hourly","$0.157 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","Base performance:                 90%","4 vCPUs                                                   for a                 5h 24m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.0","Yes","","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","45","No","Yes","Yes","No","HVM","$0.185600 hourly","$0.115000 hourly","$0.2456 hourly","$0.175 hourly","$0.2856 hourly","$0.148 hourly","$0.226600 hourly","$0.156000 hourly","$0.298 hourly","$0.227 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","Base performance:                 135%","8 vCPUs                                                   for a                 4h 3m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.0","Yes","","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","45","No","Yes","Yes","No","HVM","$0.371200 hourly","$0.230000 hourly","$0.5012 hourly","$0.360 hourly","$0.4712 hourly","$0.263 hourly","$0.433200 hourly","$0.292000 hourly","$0.5742 hourly","$0.433 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5 General Purpose Large","m5.large","8.0 GiB","10 units","2 vCPUs","0","0","5 units","Intel Xeon Platinum","2.5","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","30","Yes","Yes","Yes","Yes","HVM","$0.096000 hourly","$0.061000 hourly","$0.156 hourly","$0.121 hourly","$0.196 hourly","$0.094 hourly","$0.188000 hourly","$0.153000 hourly","$0.256 hourly","$0.221 hourly","$0.668 hourly","$0.633 hourly","unavailable","unavailable","0"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","15 units","4 vCPUs","0","0","3.75 units","Intel Xeon Platinum","2.5","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.192000 hourly","$0.123000 hourly","$0.252 hourly","$0.183 hourly","$0.292 hourly","$0.156 hourly","$0.376000 hourly","$0.307000 hourly","$0.444 hourly","$0.374 hourly","$0.856 hourly","$0.787 hourly","$1.876 hourly","$1.807 hourly","0"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","31 units","8 vCPUs","0","0","3.875 units","Intel Xeon Platinum","2.5","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.384000 hourly","$0.245000 hourly","$0.514 hourly","$0.375 hourly","$0.484 hourly","$0.278 hourly","$0.752000 hourly","$0.613000 hourly","$0.887 hourly","$0.749 hourly","$1.712 hourly","$1.573 hourly","$3.752 hourly","$3.613 hourly","0"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","61 units","16 vCPUs","0","0","3.812 units","Intel Xeon Platinum","2.5","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$0.768000 hourly","$0.491000 hourly","$0.898 hourly","$0.621 hourly","$0.868 hourly","$0.524 hourly","$1.504000 hourly","$1.227000 hourly","$1.774 hourly","$1.497 hourly","$3.424 hourly","$3.147 hourly","$7.504 hourly","$7.227 hourly","0"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum","2.5","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","5000.0 Mbps","625.0 MB/s","32500.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$2.304000 hourly","$1.472000 hourly","$2.434 hourly","$1.602 hourly","$2.404 hourly","$1.505 hourly","$4.512000 hourly","$3.680000 hourly","$5.323 hourly","$4.491 hourly","$10.272 hourly","$9.440 hourly","$22.512 hourly","$21.680 hourly","0"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","345 units","96 vCPUs","0","0","3.594 units","Intel Xeon Platinum","2.5","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","10000.0 Mbps","1250.0 MB/s","65000.0 IOPS","750","Yes","Yes","Yes","Yes","HVM","$4.608000 hourly","$2.944000 hourly","$4.738 hourly","$3.074 hourly","$4.708 hourly","$2.977 hourly","$9.024000 hourly","$7.360000 hourly","$10.646 hourly","$8.982 hourly","$20.544 hourly","$18.880 hourly","$45.024 hourly","$43.360 hourly","0"
"M4 General Purpose Large","m4.large","8.0 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3","2.4","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Moderate","450.0 Mbps","56.25 MB/s","3600.0 IOPS","20","Yes","Yes","Yes","Yes","HVM","$0.100000 hourly","$0.062000 hourly","$0.16 hourly","$0.122 hourly","$0.2 hourly","$0.095 hourly","$0.192000 hourly","$0.154000 hourly","$0.24 hourly","$0.194 hourly","$0.672 hourly","$0.634 hourly","unavailable","unavailable","$0.00 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3","2.4","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.200000 hourly","$0.124000 hourly","$0.26 hourly","$0.184 hourly","$0.3 hourly","$0.157 hourly","$0.384000 hourly","$0.308000 hourly","$0.439 hourly","$0.346 hourly","$0.864 hourly","$0.788 hourly","$1.884 hourly","$1.808 hourly","$0.00 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3","2.4","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.400000 hourly","$0.248000 hourly","$0.53 hourly","$0.378 hourly","$0.5 hourly","$0.281 hourly","$0.768000 hourly","$0.616000 hourly","$0.9 hourly","$0.689 hourly","$1.728 hourly","$1.576 hourly","$3.768 hourly","$3.616 hourly","$0.00 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","Intel Xeon E5-2676 v3","2.4","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$0.800000 hourly","$0.496000 hourly","$0.93 hourly","$0.626 hourly","$0.9 hourly","$0.529 hourly","$1.536000 hourly","$1.232000 hourly","$1.844 hourly","$1.381 hourly","$3.456 hourly","$3.152 hourly","$7.536 hourly","$7.232 hourly","$0.00 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","124.5 units","40 vCPUs","0","0","3.112 units","Intel Xeon E5-2676 v3","2.4","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$2.000000 hourly","$1.239000 hourly","$2.13 hourly","$1.369 hourly","$2.1 hourly","$1.272 hourly","$3.840000 hourly","$3.079000 hourly","$4.582 hourly","$3.449 hourly","$8.64 hourly","$7.879 hourly","$18.84 hourly","$18.079 hourly","$0.00 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","188 units","64 vCPUs","0","0","2.938 units","Intel Xeon E5-2686 v4","2.3","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","10000.0 Mbps","1250.0 MB/s","65000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$3.200000 hourly","$1.982000 hourly","$3.33 hourly","$2.112 hourly","$3.3 hourly","$2.015 hourly","$6.144000 hourly","$4.926000 hourly","$7.331 hourly","$5.518 hourly","$13.824 hourly","$12.606 hourly","$30.144 hourly","$28.926 hourly","0"
