"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","12 units","4 vCPUs","1","0","3 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.900000 hourly","$0.614000 hourly","$0.96 hourly","$0.674 hourly","$1 hourly","$0.647 hourly","$1.084000 hourly","$0.798000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","94 units","32 vCPUs","8","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","32500.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$7.200000 hourly","$4.914000 hourly","$7.33 hourly","$5.044 hourly","$7.3 hourly","$4.947 hourly","$8.672000 hourly","$6.386000 hourly","unavailable","unavailable","unavailable","unavailable","$20.672 hourly","$18.386 hourly","0"
"General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","188 units","64 vCPUs","16","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","10000.0 Mbps","1250.0 MB/s","65000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$14.400000 hourly","$9.828000 hourly","$14.53 hourly","$9.958 hourly","$14.5 hourly","$9.861 hourly","$17.344000 hourly","$12.772000 hourly","unavailable","unavailable","unavailable","unavailable","$41.344 hourly","$36.772 hourly","0"
"G3 Quadruple Extra Large","g3.4xlarge","122.0 GiB","47 units","16 vCPUs","1","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$1.140000 hourly","$0.778000 hourly","$1.27 hourly","$0.908 hourly","$1.24 hourly","$0.811 hourly","$1.876000 hourly","$1.514000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"G3 Eight Extra Large","g3.8xlarge","244.0 GiB","94 units","32 vCPUs","2","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$2.280000 hourly","$1.556000 hourly","$2.41 hourly","$1.686 hourly","$2.38 hourly","$1.589 hourly","$3.752000 hourly","$3.028000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"G3 16xlarge","g3.16xlarge","488.0 GiB","188 units","64 vCPUs","4","0","2.938 units","Intel Xeon E5-2686 v4","2.3 (base) 2.7 (turbo)","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","750","Yes","Yes","Yes","Yes","HVM","$4.560000 hourly","$3.112000 hourly","$4.69 hourly","$3.242 hourly","$4.66 hourly","$3.145 hourly","$7.504000 hourly","$6.056000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","2000 GiB               HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.550000 hourly","$0.374000 hourly","$0.68 hourly","$0.504 hourly","$0.65 hourly","$0.407 hourly","$0.918000 hourly","$0.742000 hourly","$1.053 hourly","$0.877 hourly","$1.878 hourly","$1.702 hourly","$3.918 hourly","$3.742 hourly","0"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","","","","","","4000 GiB               (2 * 2000 GiB HDD)","Yes","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$1.100000 hourly","$0.748000 hourly","$1.23 hourly","$0.878 hourly","$1.2 hourly","$0.781 hourly","$1.836000 hourly","$1.484000 hourly","$2.106 hourly","$1.754 hourly","$3.756 hourly","$3.404 hourly","$7.836 hourly","$7.484 hourly","0"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","99 units","32 vCPUs","0","0","3.094 units","","","","","","8000 GiB               (4 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$2.200000 hourly","$1.495000 hourly","$2.33 hourly","$1.625 hourly","$2.3 hourly","$1.528 hourly","$3.672000 hourly","$2.967000 hourly","$4.213 hourly","$3.508 hourly","$7.512 hourly","$6.807 hourly","$15.672 hourly","$14.967 hourly","0"
"H1 16xlarge","h1.16xlarge","256.0 GiB","188 units","64 vCPUs","0","0","2.938 units","","","","","","16000 GiB               (8 * 2000 GiB HDD)","Yes","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","750","Yes","Yes","Yes","Yes","HVM","$4.400000 hourly","$2.990000 hourly","$4.53 hourly","$3.120 hourly","$4.5 hourly","$3.023 hourly","$7.344000 hourly","$5.934000 hourly","$8.426 hourly","$7.016 hourly","$15.024 hourly","$13.614 hourly","$31.344 hourly","$29.934 hourly","0"
